pos_x,pos_y,vel_x,vel_y,dest_x,dest_y,desired_speed,disease,immunity,is_infectious
-3.375,-2.1,0,0,-3.375,-2.1,0,0,0,0
-3.375,-0.7,0,0,-3.375,-0.7,0,0,0,0
-3.375,2.1,0,0,-3.375,2.1,0,0,0,0
-3.375,6.3,0,0,-3.375,6.3,0,0,0,0
-2.625,-6.3,0,0,-2.625,-6.3,0,0,0,0
-2.625,-4.9,0,0,-2.625,-4.9,0,0,0,0
-2.625,-2.1,0,0,-2.625,-2.1,0,0,0,0
-2.625,0.7,0,0,-2.625,0.7,0,0,0,0
-2.625,3.5,0,0,-2.625,3.5,0,0,0,0
-1.875,-3.5,0,0,-1.875,-3.5,0,0,0,0
-1.875,-2.1,0,0,-1.875,-2.1,0,0,0,0
-1.875,-0.7,0,0,-1.875,-0.7,0,0,0,0
-1.875,2.1,0,0,-1.875,2.1,0,0,0,1
-1.875,4.9,0,0,-1.875,4.9,0,0,0,0
-1.125,-4.9,0,0,-1.125,-4.9,0,0,0,0
-1.125,-3.5,0,0,-1.125,-3.5,0,0,0,0
-1.125,-2.1,0,0,-1.125,-2.1,0,0,0,0
-1.125,-0.7,0,0,-1.125,-0.7,0,0,0,0
-1.125,0.7,0,0,-1.125,0.7,0,0,0,0
-1.125,2.1,0,0,-1.125,2.1,0,0,0,0
-1.125,3.5,0,0,-1.125,3.5,0,0,0,0
-1.125,4.9,0,0,-1.125,4.9,0,0,0,0
-0.375,-6.3,0,0,-0.375,-6.3,0,0,0,0
-0.375,-3.5,0,0,-0.375,-3.5,0,0,0,0
-0.375,3.5,0,0,-0.375,3.5,0,0,0,0
0.375,-6.3,0,0,0.375,-6.3,0,0,0,0
0.375,-4.9,0,0,0.375,-4.9,0,0,0,0
0.375,-2.1,0,0,0.375,-2.1,0,0,0,0
0.375,3.5,0,0,0.375,3.5,0,0,0,0
0.375,4.9,0,0,0.375,4.9,0,0,0,0
1.125,-6.3,0,0,1.125,-6.3,0,0,0,0
1.125,-4.9,0,0,1.125,-4.9,0,0,0,0
1.125,-0.7,0,0,1.125,-0.7,0,0,0,0
1.125,3.5,0,0,1.125,3.5,0,0,0,0
1.875,-4.9,0,0,1.875,-4.9,0,0,0,0
1.875,-0.7,0,0,1.875,-0.7,0,0,0,0
1.875,0.7,0,0,1.875,0.7,0,0,0,0
1.875,2.1,0,0,1.875,2.1,0,0,0,0
1.875,3.5,0,0,1.875,3.5,0,0,0,0
1.875,6.3,0,0,1.875,6.3,0,0,0,0
2.625,-3.5,0,0,2.625,-3.5,0,0,0,0
2.625,-2.1,0,0,2.625,-2.1,0,0,0,0
2.625,0.7,0,0,2.625,0.7,0,0,0,0
2.625,2.1,0,0,2.625,2.1,0,0,0,0
2.625,6.3,0,0,2.625,6.3,0,0,0,0
3.375,-6.3,0,0,3.375,-6.3,0,0,0,0
3.375,-4.9,0,0,3.375,-4.9,0,0,0,0
3.375,-2.1,0,0,3.375,-2.1,0,0,0,0
3.375,-0.7,0,0,3.375,-0.7,0,0,0,0
3.375,2.1,0,0,3.375,2.1,0,0,0,0
3.375,6.3,0,0,3.375,6.3,0,0,0,0
4.125,-6.3,0,0,4.125,-6.3,0,0,0,0
4.125,-3.5,0,0,4.125,-3.5,0,0,0,0
4.125,-2.1,0,0,4.125,-2.1,0,0,0,0
4.125,-0.7,0,0,4.125,-0.7,0,0,0,0
4.125,2.1,0,0,4.125,2.1,0,0,0,0
4.125,6.3,0,0,4.125,6.3,0,0,0,0
4.875,-3.5,0,0,4.875,-3.5,0,0,0,0
4.875,-2.1,0,0,4.875,-2.1,0,0,0,0
4.875,2.1,0,0,4.875,2.1,0,0,0,0
4.875,6.3,0,0,4.875,6.3,0,0,0,0
